Focus Area,Clinical Categories,URL
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Governance Committees",,https://mgaleg.maryland.gov/2025RS/fnotes/bil_0000/hb0820.pdf
"Transparency and Explainability, Ethics and Consent, Governance Committees",,https://mgaleg.maryland.gov/cmte_testimony/2025/fin/1GRIaGO_kWSq1rEV21eAeK6WPYNZggVvC.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Governance Committees",,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0820F.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent","Radiology, Oncology",https://ag.ny.gov/sites/default/files/reports/oag-aisymposiumreport.pdf
"Bias and Fairness, Transparency and Explainability, Safety and Risk Management, Governance Committees","Obstetrics, Psychiatry, Endocronology, Cardiology",https://info.nystateofhealth.ny.gov/sites/default/files/NYSOH%20Health%20Equity%20Portfolio.pdf
,,https://ahea.assembly.ca.gov/system/files/2025-05/background_paper_genai_in_health_care_joint_asm_health_privacy_hearing_5.28.pdf
,,https://mgaleg.maryland.gov/cmte_testimony/2025/fin/1xemGZLy9scMGuYG3fvyo0YGSzLoOo5j1.pdf
,,https://www.health.ny.gov/health_care/medicaid/ebbrac/meetings/2024/docs/policy_brief_rpt.pdf
,,https://www.peba.sc.gov/sites/default/files/hcp_materials_march2025.pdf
,,https://www.capitol.tn.gov/Bills/114/Bill/SB1261.pdf
,,https://www.tn.gov/content/dam/tn/health/documents/PH-3549.pdf
,,https://www.house.texas.gov/pdfs/committees/reports/interim/88interim/House-Select-Committee-on-Artificial-Intelligence-and-Emerging-Technologies-Interim-Report-2024.pdf
,,https://tsbde.texas.gov/78i8ljhbj/ADA-Use-of-AI-in-Dentistry.pdf
,,https://ai.utah.gov/wp-content/uploads/Best-Practices-Mental-Health-Therapists.pdf
,,https://mentalhealth.vermont.gov/sites/mentalhealth/files/ConfPres/Practical%20and%20Ethical%20Use%20of%20AI%20Maelisa%20McCaffrey.pdf
,,https://ago.vermont.gov/sites/ago/files/2024-03/Apple%20Complaint%20--%20filed%2C%20stamped.pdf
,,https://gmcboard.vermont.gov/sites/gmcb/files/Sola%20Quote.pdf
,,https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Bills/5395.pdf
,,https://wmc.wa.gov/sites/default/files/public/Newsletter/2024Spring/WMCUpdateSpring2024.pdf
,,https://watech.wa.gov/sites/default/files/2025-01/EO%2024-01%20Risk%20Guidance_Final.pdf
,,https://wmc.wa.gov/sites/default/files/public/Newsletter/2024Spring/5.Equity_Spring2024.pdf
,,https://lpnboard.wv.gov/executivedirector/PublishingImages/Pages/default/NCSBN%20Artificial%20Intelligence%20handout_2022DCM_avandergaag.pdf
,,https://dhhr.wv.gov/bms/BMSPUB/Documents/Quarter12024ProviderNewsletterFinal.pdf
,,https://dhhr.wv.gov/bms/Provider/EHR/Documents/CMS%20SMHP%202020.pdf
,,https://legis.wisconsin.gov/senate/28/bradley/media/5h3bvbnm/staff-brief.pdf
,,https://www.dhs.wisconsin.gov/non-dhs/dph/heart-month-cdpp-partner-presentation-jan-2025.pdf
,,https://www.biodiritto.org/ocmultibinary/download/4423/51767/1/de2e645d6bce65ab0e013e3208a22727/file/EPRS_STU%282022%29729512_EN.pdf
,,https://www.fsmb.org/siteassets/advocacy/policies/incorporation-of-ai-into-practice.pdf
,,https://www.ama-assn.org/system/files/physician-ai-sentiment-report.pdf
,,https://www.aclu.org/sites/default/files/field_document/algo_health_white_paper_draft_final_v4.pdf
,,https://www.ama-assn.org/system/files/ama-ai-principles.pdf
,,https://www.chcf.org/wp-content/uploads/2024/04/ExaminingAIandHealthCare.pdf

