PDF Link,AI Applications,Similarity Scores
https://dmh.mo.gov/sites/dmh/files/media/pdf/2024/01/fyi-fridays-jan-26-2024_0.pdf,[],{}
https://dphhs.mt.gov/assets/BHDD/DDP/MedicalDirector/TheMARhowtofilloutanduse.pdf,[],{}
https://medicaidprovider.mt.gov/docs/feeschedules/2024/ProposedJanuary2025PhysicianServicesFeeSchedule.pdf,[],{}
https://fwp.mt.gov/binaries/content/assets/fwp/conservation/bighorn-sheep/7-bhs_mg-final-report_1_21_2022.pdf,[],{}
https://ccpe.nebraska.gov/sites/default/files/AP_Meeting%20Materials-UNO%20Estab%20BS%20in%20AI-Updated%207-31-24.pdf,[],{}
https://ccpe.nebraska.gov/sites/default/files/AP_UNL%20Data%20Sciences%20BA%20BS%20Proposal.pdf,[],{}
https://das.nebraska.gov/materiel/purchasing/5960/5960%20Z1%20System%20Automation%20Option%20A%20bid%20response.pdf,[],{}
https://govdocs.nebraska.gov/epubs/u0050/b001-2006.pdf,[],{}
https://dhcfp.nv.gov/uploadedFiles/dhcfpnvgov/content/About/HIPAA/Privacy_and_Security_Guide_HIPAA_for_Providers_Page.pdf,[],{}
https://www.nj.gov/health/autism/documents/FY26-clinical-basic-research-rfa.pdf,[],{}
https://hwbdocs.env.nm.gov/Los%20Alamos%20National%20Labs/TA%2021/10830.pdf,[],{}
https://www.wcb.ny.gov/content/main/hcpp/MedFeeSchedules/DME/dme-fee-schedule.pdf,[],{}
https://www.wcb.ny.gov/content/main/hcpp/MedFeeSchedules/4-21-09decisionDMEFeeSch.pdf,[],{}
https://www.supremecourt.ohio.gov/docs/Boards/UPL/UPL2024SeminarMaterials.pdf,['Clinical Documentation AI'],{'Clinical Documentation AI': 0.6337955239471408}
https://dam.assets.ohio.gov/image/upload/med.ohio.gov/about-the-board/Communications/Meeting%20Agendas/Approved_May_2025_Board_Minutes.pdf,[],{}
https://dam.assets.ohio.gov/image/upload/ema.ohio.gov/Documents/Ohio_EOP/AnimalResponse/AnimalResponsePlanDevelopmentGuidanceToolKit.pdf,[],{}
https://www.oregon.gov/osbn/Documents/Sentinel_2024_November.pdf,"['Clinical Documentation AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Robotics and Surgical AI', 'Education and Training AI', 'Public Health AI', 'Clinical Decision Support']","{'Clinical Documentation AI': 0.6268854367909482, 'Operational and Administrative Automation': 0.6708769910860468, 'Patient-facing AI': 0.6238104775049972, 'Robotics and Surgical AI': 0.6132389790021253, 'Education and Training AI': 0.6238210818277163, 'Public Health AI': 0.6059789930162774, 'Clinical Decision Support': 0.6485250308796502}"
https://www.oregon.gov/oha/Documents/ODHS-OHA-STP-2025-Final.pdf,[],{}
https://www.oregon.gov/omb/Newsletter/Spring%202024.pdf,"['Robotics and Surgical AI', 'Education and Training AI']","{'Robotics and Surgical AI': 0.6028182445113633, 'Education and Training AI': 0.6070974391934821}"
https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/trahan-event-resources/incidentcommand_factsheet.pdf,[],{}
https://www.pa.gov/content/dam/copapwp-pagov/en/dhs/documents/healthchoices/hc-providers/documents/2024-CHC-Agreement-Final.pdf,[],{}
